"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54"
"034 我签了“不气切、不插管”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c034","Ｏ一一年六月七日，下午，我在“真佛密苑”签了一份文件。","有两位公证人，一位是“炳祥”，一位是“树英”。由公证人（法律证明），签印有效。","这个文件是我自己要做的，其主旨是：","当我要离开人间时，或晕迷时，或任何危急状况时，勿“气切”，勿“插管”，任其自然死亡而去。也就是不必给饮水，不必给营养。","在美国，这是重要文件之一。","我的意思是说：","不用抢救。","不用切喉插管。","任其去也。","哈哈哈！","（这个重要文件，不可由亲属证明，妻子、丈夫、儿子、女儿均不可当公证人。而是由“外人”当公证人这才有效。）","","自从我开悟成就之后，把一切事情也全放下了，任其自然可也。","什么事都勿勉强。","要死就死。","要活就活。","“世间一切事，与我全无交涉”。","我喜欢自然些。","一首好偈：","剑倚青天笛倚楼。","云影悠悠。","鹤影悠悠。","好同携手上瀛洲。","身在阎浮。","业在阎浮。","一段红云绿树愁。","今也休休。","古也休休。","夕阳西去水东流。","富又何求。","贵又何求。","","我想：","“思量这世间的事，几千几百个翻来覆去，是非到底有多少啊！在我心中，还是随份随缘的好。我已悟道，不用去计较，此道与江山一样不老。道在先天里，神游逍遥，自然是长生之宝。”","我想：","“一件破袈裟，拖鞋踢踏，清风明月好。惊觉这百年也是一场梦，其中只有名利萦绕，何不学学野鹤东西飞，也学学孤云自在。面对落花芳草，拂一拂袖，自己去了。”","我的签署。","真的是大澈大悟。","又妙又好。","","●","","我佛在禅定中，见到了“慧觉禅师”，他老人家仍然说着老话：","大众！百千三昧，无量妙义，尽在诸人脚跟下。各请回去自取。","会吗？不管会不会，认取归家路。","智慧是桥梁，柔和作依怙，居安则思危，在乐须知苦。","君不见，那位庞居士，黄金抛却如粪土。","父子若相团聚，共说无生话。","无生语。","仍记取。","二","九夏雪花飞。","三冬汗如雨。","我佛说：“死了也欢欢喜喜！”",""
"035 癌细胞的不见","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c035","Ｏ一Ｏ年期间，我去了一趟日本，在大坂的 HYATT HOTEL，神户同修会的“伊藤梨禅”来见我。","我一见她，大骇。","因为神户同修会的“伊藤梨禅”讲师，可以说是日本的美女。","她的相貌：","春从翠髻堆边见。","娇自红绡脱处生。","恰如伫立东风里。","犹听霓裳羯鼓声。","也即是：","纤巧之身。","芙蓉的脸。","缥缈如云。","袅袅襟袖。","","然而，这一次见面，她的神情憔悴，整个脸全成黑幽幽的颜色，昔日丰彩，全然不见。","我询问她：","“怎么回事？”","“伊藤梨禅”说：","“生了一场大病，我一直卧床不起，到了医院检查，结果在肠子、肺部、大脑、淋巴腺等，都发现了癌细胞。我不敢相信这个诊断结果，我怀疑这如何活下去？”","“伊藤梨禅”请求我的加持。","我特别用了“超级的大法力”，将我的神力，全部贯注在她的身上。而且周流其身。","当我和她合影的时候，虚空中显现了大红色的加持光。","临别时，我特别传授她，召请我的“真言”及“咒文”。","","●","","她接受了每天，二十次的放射线治疗，在激光之中，发生了不可思议的现象，因为卢师尊的影像，一一同放射线的激光一起出现，而且一起出现梵音的咒语真言。","她从高危险期中，解救了出来，她每天都纪录下卢师尊的救命之恩。","又：","有一段时期，病情突然急变，不停的出现便血，因为出血过多，引起了全身血液流失，所以得了贫血。她急速的祈求卢师尊的加持，她念了召请卢师尊的咒文律令，乞求救命。","才念完咒文律令。","即刻出血停止了。","她流下了感动的眼泪。","","●","","医院的各科医师及很多的实习生，都来诊察她的状况，因为她成了不可思议的患者，发生了让人无法相信的结果：","“一切正常痊愈！”","皮肤无疤痕。","脸变青春。","皱纹消失。","脚心鸡眼不见。","就像是身心全部净化一样，连她自己也难以相信这种奇迹。","“伊藤梨禅”特别写了一封感谢信函。","","我在救度病患方面，不敢说百分之一百，但，也用了毕生的精力，这是：","随时任运。","乐天知命。","病人念我。","夫复何疑。","二","","","",""
"036 化身为救火员","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c036","Ｏ一一年六月九日。","一名“莲湘”弟子，匆匆奔入“西雅图”雷藏寺，对着我恭恭敬敬的叩了三个响头。","我问：","“有事吗？”","他答：","“感谢救命之恩！”他很激动的说。","我问：","“我几时救过你？”","他答：","“昨夜二时。”","在旁的信众，听得一头雾水，昨夜二时，卢师尊如何救你？","于是，他详详细细的说明原委：","他昨晚是一时三十分才上床睡觉，他的睡眠习惯是一上床，一觉到天亮，是在七时或七时半才起床，每晚睡六个小时，已成习惯了。","他从未半夜起床。","他从未半夜醒来。","但是，六月九日清晨二时，他才睡半个小时，却被叫起床。","“起床！起床！”有人叫他，又摇他。","他睡眼矇眬，看见床头站立一个消防队员，头上戴钢帽，身穿救火员的装备，脚上长筒鞋，叫他起床。","","他再一看。","吓！这个人竟然是卢师尊呢！","卢师尊说：","“厨房！厨房！”","他这才起床，一看，那位装扮成救火员的卢师尊，早就消杳了。","他赶到厨房去，这才发觉，昨晚，他煮东西，瓦斯炉的火，用的是中火，此时，锅中的水早已煮干了，煮的东西已焦了、黑了，而且已开始冒烟。他吓了一跳，赶紧把火关掉，打开窗子，让烟出去。","他想：","如果不是卢师尊化身为救火员来叫醒他，摇醒他，他是绝不会起床的。","如果不是卢师尊跟他大叫“厨房！厨房！”他也想不起厨房煮东西。","这个后果是很难想像的，锅子烂了，烟到处皆是，最可怕的是，火烧到易燃物，整座房子着火了。","他无处可逃，被火烧死了！老天！他愈想愈怕，愈是感谢卢师尊的救命之恩！","于是。","他于六月九日，赶赴雷藏寺，向我叩头谢恩！","","●","","他的这件事，使我想起从前，我刚得到“瑶池金母”开天眼。","每天起床，不用闹钟。我只向“瑶池金母”讲一声，我要几点起床，那就是几点自然醒，一看钟表，那就是几点，一分一秒不差。","又：","我如果睡得太深沉了。","“瑶池金母”会摇我的脚，把我摇醒过来，还叫我该起床了。","每一次都是这样，从来未停止过。","现在，我有了“星光身”，能到处化身，遍照整个山河大地。只要真佛行者，念念我的名号，念念我的真言咒语。","随时随地救人！","苦海常作度人舟！","","","","","","","二","","","",""
"037 宗教如何融合？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c037","位“原住民”的记者，她是属于电视台的，她问我一个问题：","“台湾的原住民，现在大部分的信仰，已转变成基督教。而你是一位佛教密宗的活佛，你对于各种宗教，有如何特别的见解？”","我答：","中国原有的宗教，我归类为：","儒教。","道教。","释教。","这是中国文化原有的，释教虽由印度传入中国，但，已在中国落地生根久矣！所以也算是中国的一大宗教。","后来移入的宗教是：","耶教。","回教。","","这二教，应该是近代才移入的外来宗教了！这些宗教，各有教主，各有教义，虽然都不尽相同，但，都有它的道理在，也各有偏重。","儒教教主是孔子，他专重于人伦、道德方面，这是人成即佛成，应该是人乘的佛教，也可以说是佛教的戒律学了。","道教教主是老子，真正的道家，是性命双修的，性是心灵，命是肉体，二者一半一半。修成了，可以称神，可以称仙。道家的修行，一部分类似佛教，一部分不是，但，其最终的成就，与佛教似乎一致。","释教教主是释迦牟尼，佛陀的教法，较重于出世解脱，也就是出离心。救世方面，则发菩提心，行菩萨道。其明心见性更是第一义。统摄人乘、天乘、声闻乘、菩萨乘、佛乘，以佛乘为最高成就。除了密宗之外，对命修较忽略。","耶教教主是耶稣基督，以信为基础，以愿生天国，以行为达到救度。这是属于佛教的天乘，信者上天国，不信者下地狱。","回教教主是穆罕默德，它的教义来自于“天启”，其中亦有许多戒律，类似人乘。一样宣扬“天乘”，以升上帝之国为成就。","这五位圣人是孔子、老子、释迦牟尼、耶稣、穆罕默德。","我说：","五位圣人，都是人类的老师，传道各有不同层次，但教法全是形而上的，除了孔子之外，孔子偏重于人伦，也较注重行为。","外国移入的宗教，以“上帝”为中心的有：","“基督教”。","“天主教”。","“回教”。","","另：","“犹太教”。","“东正教”。","这五个宗教，全是同一个“上帝”，同一个“天国”，但教义各不尽相同。事实上，本是同根生，相煎均太急了些，全是天乘。","我说：","释教似乎包办了所有的教理，一切宗教、哲学、文化、人文，均在如来的心中，其“明心见性”更是无上的形而上，是最高的成就。","道教从物理、心理入手，性命双修均是有功夫的，其修命的方法，有些类似密教。成神成仙，是最高的目标。","儒教以伦理立人为标准。","基督、回教、天主都是“天国乘”。","在我卢师尊的脑海之中，我的教法，是完全包容的，没有分别，只是层次的问题，因人而异，这是宗教的融合。","","","","","","","","","","","","","","","一","","","",""
"038 史蒂芬‧辛格","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c038","Ｏ一一年六月，住在温哥华的熊漫师姐，到了西雅图雷藏寺，她告诉我：","有一天，美国明星“史蒂芬‧辛格”到了熊漫师姐的佛具店，购买商品。相谈之下，原来“史蒂芬‧辛格”是密教的弟子。","“史蒂芬‧辛格”对熊漫说，很多位西藏大活佛，到了他的家，均告诉他本人，他是西藏活佛的转世，他是被认证的仁波切（活佛）。","“史蒂芬‧辛格”看见熊漫家中及佛具店，悬挂“莲生活佛卢胜彦”的法照。","他说：","好极了！庄严极了！","这位法照中的人，是一位大活佛。","“史蒂芬‧辛格”请熊漫师姐带他，务必来拜访“莲生活佛卢胜彦”。","我说：","很好，欢迎“史蒂芬‧辛格”的到访！","","●","","记得我在台湾时，在高铁的月台，有多位西藏仁波切也在月台上等车。","我们彼此合掌问讯。","西藏仁波切们说：","“我们认识你，你是莲生活佛卢胜彦，我们都听闻到你的说法开示，是一位大活佛的风范。”","我请他们到雷藏寺。","他们说：","“我们都去过了，非常殊胜的庄严宝寺，真是大活佛驻锡之地。”","彼此相谈甚欢。","","●","","台湾台中萨迦寺的住持“蒋扬堪布”活佛，常常到台湾雷藏寺听我说法。","蒋扬堪布说：","“非常精彩，引人入胜，容易明白，把密教的法，传播得淋漓尽致。”","蒋扬堪布说：","“简直是无与伦比了！”","蒋扬堪布赠我以“哈达”及礼品。","顶礼致敬。","","●","","很早很早以前，陈健民上师还在世，他住在旧金山。","有一次，他到加拿大温哥华说法，开车载他的人正是赖文彦。","赖文彦正是现在真佛宗的莲高上师。","（那时候尚无真佛宗，而赖文彦只是赖文彦。）","赖文彦说：","“我想皈依你！”（指陈健民上师）","陈健民上师说：","“你不用皈依我，你的将来，会遇到一位成就的大活佛，这位成就的大活佛，他的光芒会照耀全世界的，是一位至高无上的佛，你去皈依他，这是你的福分。”","赖文彦后来遇见了我，告诉我这样的经过。","","●","","我说：","真正高明，懂得看相的人，一看面孔就晓得这个人修行得如何？","因为每一个人都有每一个人的“卦象”。","这叫“幽潜沦匿，变化其中”。","二","“二用无爻位，周流行六虚”。","释迦佛陀有三十二相，有种种随行好。","“史蒂芬‧辛格”从法相中，看见我，他到底看见什么？你知道吗？",""
"039 三座金桥","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c039","Ｏ一一年六月十二日晚上。","佛陀与卢师尊感应道交。","（在此处，不得说佛陀已死了二千五百年了，也不得说卢师尊在娑婆世界已活了六十七年了。这种感应道交，是如来与如来之间，一切法皆能如理。）","有五大胜意：","一、如来是修因圆满无余。","二、如来是至果圆满无余。","三、如来是利益众生圆满无余。","四、如来是神变圆满无余。","五、如来是转法轮圆满无余。","佛陀说：","在过去，我与诸大弟子，行步于一山麓，见一地是佳妙宝地。","我赞叹说，这宝地可以建佛的宝刹（寺院）。","话才说完。","帝释天下降，取了三根茎草，插在我说的宝地之上。","帝释天说：","宝刹已建成。","于是，钟鼓齐鸣。","一切均殊胜圆满。","我说：","卢师尊对佛陀说：","在现代人间，我创办的华光功德会，以卢师尊名义。","在甲仙地区，建了一座“莲生一号桥”。","在桃源地区，建了一座“莲生二号桥”。","在那玛夏地区，建了一座“莲生三号桥”。","我卢师尊赞叹：","实在太殊胜了。","我说，这有五种希奇：","一、于诸有情，非有因缘，而生亲爱。","二、唯为饶益诸有情故，常处生死，忍无量苦。","三、于多烦恼的人世间，善能了解方便调伏。","四、于极难度之有情，能度之。","五、于人间具大威德之神力。","“一日光耀三百。”","我说完这五大希奇。","佛陀一挥手——","从帝释天，到三大佛土之间，建起显现“三座金桥”，这三座金桥，瑰丽庄严，光彩夺目，令诸天人叹为观止。","一词偈曰：","桥连诸天。","若娥眉横绝，天佛相连。","西来当便道，俯望那人间。","谁说攀缘。","黄金铸最胜，瞻那佛颜。","诸天只一握，度过天中天。","唯有金仙。","西游何日还，岁月无添。","随处皆悟入，管它人争喧。","","●","","佛陀说：","二","“当日帝释天给我三茎草。”","我说：","“今日我还帝释天三座桥。”","佛陀说："
"040 一个老头与一个小孩","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c040","在“南山雅舍”的夜梦中——","一个老头与一个小孩来见我，老头发苍苍，脸上满布皱纹，却是大眼睛，大鼻孔，四方大口。小孩嫩嫩的，却动个不停。","老头说：","“卢师尊！别来无恙！”","“你住哪里，我怎么不认识？”我问。","老头说：","“唉！唉！我们是邻居，这一年，我儿子娶媳妇，生下一个小孩，这小孩是我的孙子。”","“孙子，生下来不久，就这么活泼，这倒是少见。而我们是邻居，我却不识？”","（我真是一头雾水。）","老头说：","“卢师尊，你去了台湾，我家的访客就少了！”","我“哦”了一声。","","老头说：","“生活相当艰苦！”","我又“哦”了一声。","我一直在想，这老头到底是什么人？我的邻居，我怎不识？儿子娶媳妇，我亦不知？小孩这么大了，我也不识？到底是谁啊？","老头说：","“左盼右盼，你终于回来了，我们盼望你来拜访寒舍呢？”","“哦！我回来忙着呢！”","老头说：","“卢师尊每每经过我的家门，却从来不进来，只是绕了过去，是不是忘了我这位老弟子啊！”","我瞠目结舌。","老头说：","“庙里的执事，各忙各的，连我老头娶媳妇，也没人理呢！”","老头一谈雷藏寺的庙，我就有头绪了。","西雅图雷藏寺的庙、邻居、老头子、经过家门而不入。","吓！有了！","老头说：","“卢师尊，你再不理我，我们就搬家了！”","我说：","“理，理，理，一定理。”","","●","","二Ｏ一一年六月，我回到西雅图雷藏寺，每天傍晚，我都带领西雅图的同门，绕寺而念佛，带同门共念“阿弥陀佛”。","绕佛的路线，从雷藏寺，绕行到庙前的山门，再绕回来，经过“地藏殿”，拜了地藏菩萨，再回到雷藏寺的大殿门口止。","二Ｏ一一年六月的十三日傍晚，路线稍有变动，从“地藏殿”绕佛完了，经过左手边的“龙王亭”，我们也进去参礼了。","我说：","“哈哈！疏忽了！对不起！”","同门一个又一个进到“龙王亭”参礼，绕了进去，又绕了出来。","同门问：","“今天路线不同，何故？”","我答：","“礼要周全才是。”","我从来没有想到，“龙王亭”在左手边的一角，被疏忽了，没有绕进去念佛，六月十三日，特别绕了进去，以补失礼之处。","唉！龙王娶媳妇，生了小龙子，又有谁知？谁能感应？","","","","我","","","",""
"041 一个神奇的梦境","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c041","日，有一位男士，千里迢迢来到了美国华盛顿州西雅图雷藏寺，拜见了卢师尊之后，他在“真佛密苑”的问事房间，脱掉了他的上衣，露出他的前胸及后背。","我这一见，大骇。","这位男士，可不是扩背肌、胸肌、腹肌、臂肌的“肌肉男”，不是全身健美的海军陆战队的蛙人。","而是，他的前胸、背后、双手臂、腹部，甚至脖子，全部长肌瘤。","一粒一粒如乒乓球大小。","最大的如鸡蛋。","最小的如玻璃珠或鸟蛋。","全身上下约百多粒，看起来真的很吓人。","我问：","“啥东西？”","他答：","“肉瘤。”","我问：","“不是癌？”","他答：","“不是。”","我问：","“医师如何说？”","","他答：","“别人长肉瘤，最多一颗两颗，我这一长，就是百颗，又不能开刀，吃药也无效，就这样，也不特别再大，但也不会缩小，看来非常恐怖。这些大大小小的玩意儿，在我身上，共生共存已二十年，高中开始，一直到现在，听说有卢师尊，特来请求帮助。”","我个人平生，也只见到如此特异的景象，百多肉瘤，布满全身，上下凸凹。","我问：","“痛吗？”","他答：","“不痛。”","我特别用我的“天眼”观察，那肉瘤是啥玩意，原来那一颗颗、一粒粒，全是“冤魂”。","天眼中，这些“冤魂”全是学生。过去世，百多学生出游乘船，此人是导师，他租了廉价的破船，船翻了，百多学生覆没，这位导师幸免。","这一世，百多学生依附在他身，成了奇观。","我说：","“你念我的心咒，愈多愈好！”","“八百万遍？”","我说：“更多也可以！”","","●","","他回去后，念咒很勤。念了一年。","有一天梦中，我出现，浑身上下也一样百多颗肉瘤，长得一模一样。我笑嘻嘻的现身，上身不穿衣物。","他问：","“卢师尊怎么和我长肉瘤一模一样！”","我笑而不答。","自从那一天起，他全身肉瘤，渐渐的缩小了，一天又一天的小，小到完全和正常人一样了，这样也要半年的时光。","我二Ｏ一一年回西雅图雷藏寺，他也特别飞到西雅图来看我。他祝贺我的生日。","他告诉我：","“全好了！”","我说：","“恭喜！”","他说：","“那个梦境，是不是卢师尊替代？”","我答：","昔","“不是。他们全到摩诃双莲池了！”","","",""
"042 魏青萍夫人","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c042","青萍先生，是我昔日服务于军中测量连的副连长，当时“五八Ｏ二”测量连，位于台中南门桥。","测量连连长是庄铭石。","副连长魏青萍。","辅导长皮志青。","我当时是测量官。","有一回，魏青萍与我，共赴澎湖“拱北山”测量。","魏副连长，当场手握“铜钱”，请我“灵测”手中有多少钱？","我答十四。","这件事轰动全测量连，魏青萍于是跟定我学佛法。（此事记载于《灵机神算漫谈》一书之中）","","●","","二Ｏ一一年五月间，魏副连长，突然夜间十一时左右，到了南投草屯雷藏寺找我。","执事安排先住宿于虎山山下。","第二天，我与魏青萍见面。","我们约四十年未见面了。","我已六十七岁，魏青萍约八十岁左右。","他住台北。他说，今天一整天，精神恍惚，似乎有人告诉他，去找卢胜彦。于是，恍惚之中，他上了车，又恍惚恍惚，到了南投，又恍神恍神，到了虎山草屯台湾雷藏寺。到雷藏寺时已夜深。","我当时不在寺。第二天我才上山与魏青萍见面。","他说：","“也不知怎么了，就是一定要我找着你，唉！四十年未见，老了！”","我问：","“你夫人，萧凤凰，怎没一起来？”","他答：","“死了！”","他一说“死了”，萧凤凰的灵魂从魏青萍的身后现了身。","我一看，便知道魏青萍恍惚恍神的原因了。我笑了。原来萧凤凰要魏青萍来找我，是他的夫人在后面催他的。","","我问萧凤凰：","“你死了，何不往生去？留在人间做什么？”","萧凤凰答：","“等你接引往生佛国刹土。”","我说：","“今天我做护摩火供，就接引你，用火供迁识，把你送上去。”","萧凤凰说：","“且慢，我知道你要回去美国，你先带我去美国，这是我的愿望，然后你再送我到净土佛国。”","“美国，你不会自己去？鬼有五通，一念即至。”","“鬼的种类甚多，大力鬼，五通具足。像我家庭妇女，是守宅鬼，没有能力。”","我问：","“魏青萍这一世修行不错，四十年来，念佛不辍，你为什么不跟着修？”","她答：","“俗事太多，杂念纷飞，定不下心来。如今，只有仰仗你的佛力了。”","","●","","二Ｏ一一年六月一日，我回美国西雅图，是带着萧凤凰的灵魂。在“彩虹雷藏寺”的火供之中，我用迁识法，将魏青萍夫人送上西方净土。","我写一偈：","独坐无为大宫殿。","度生随缘不间断。","昔日长辈未阻隔。","魏","弥陀与他重相见。","","",""
"043 长寿的莲花益明法师","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c043","Ｏ一一年六月十六日，加拿大“莲花益明”法师来到美国西雅图雷藏寺。","莲花益明法师，年龄九十四岁，走路很有精神，礼佛不用人扶，见到卢师尊，下跪顶礼，有节有度，站起来，迅速有力。","老当益壮的法师，说话中气十足，不喘不咳。","莲花益明对大众说：","“要皈依卢师尊，他是真佛。”","又说：","“我找寻师父很久，有一天，到一书局，看见图书排列整齐，书万千册，全都黯然无光，此时，定晴一看，只有一本书放出大白光芒。我走到书前，把书拿起来一看，正是卢师尊著的《佛光掠影》，这一下子，我决定皈依我们的卢师尊。”","再说：","“我当年，患脊骨酸痛的毛病已有很多年，看见卢师尊时，对卢师尊说，我的脊骨酸痛很久，卢师尊，只对我的背，拍了一下，回去以后，不用吃药，不用看医生，竟然完全好了，这不是真佛，是什么？”","莲花益明法师说：","“我去过昆仑山，看到一名老和尚，年龄百多岁，相貌庄严，最奇的是，老和尚的双眉毛，竟然长得拖地。我一看，非常惊骇，心中想，这一位一定是有道高僧，就想再皈依这一位老和尚，想不到这一位老和尚说，你有一位真佛师父，是真佛，有这样的一位师父就够了。”","","●","","莲花益明法师一说完。","听众中有一名弟子说：","“我有同样的经验，我到一书局，想找宗教类的书看，突然看到一本书放光，拿起来一看，就是卢师尊著的《密教大光华》，这下子，高兴极了，马上找到卢师尊皈依。皈依后，把卢师尊的书，当营养品，一本一本的去搜集，现在收集得差不多，有二百多册了，本本精彩，非常有法味，获益良多。”","这位弟子说：","“以前我有近视，要戴眼镜才能看书，但看卢师尊的书看久了，竟然不用戴眼镜也看得非常清楚。有一件奇事，说起来也真是叫人难以相信，我去检查眼睛，竟然没有近视、没有远视、没有老花，白内障也没有了，是标准的视力一．Ｏ，我自己觉得奇怪，连朋友也觉得奇怪。”","又说：","“我介绍一名朋友来皈依卢师尊，他是皮肤病患者，全身搔痒难治，看过的医师恐怕也有二十多位，始终治不好。皈依后，卢师尊只给他摸了一下头，奇迹出现了，皈依回来，全身的皮肤搔痒，当夜就停止了。接着更奇，皮肤脱了一层皮，坏的皮肤全脱去，现在的皮肤白白净净，一皈依，全换了一个人。”","","●","","这两位弟子一说，很多同门纷纷说出他们感应的心声。","一个说，坐轮椅的已能站立。","一个说，耳聋的已能听见。","一个说，偏头痛完全消失。","一个说，经痛完全消杳。","......。","写一偈记之：","轻轻一摸头顶。","只是清净清净。","是谁拨云见晴。","放出一片光明。","","","","","","","","","","","","","","","","二","","","",""
"044 李翱究竟有无悟道？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c044","Ｏ一一年六月十七日，我在美国西雅图雷藏寺。","一位“莲讲法师”问我：","“唐朝李翱，究竟有没有悟道？”","这件公案，要从头说起：","李翱，是唐朝的湖南太守，他当太守时，听闻药山禅师的大名。","李翱上山找药山禅师。","药山禅师在看经书，连头也不回。","李翱自认无趣，便拂袖而去。","说：“见面不如闻名。”","药山禅师这才回话：","“勿贵耳而贱目。”","李翱才向药山禅师问道。","药山答：","“云在青天，水在瓶。”","后来，李翱呈上一偈：","炼得身形似鹤形。千株松下两函经。","我来问道无余话。云在青天水在瓶。","莲讲法师问我：","“这位李翱究竟有没有开悟？”","莲讲法师说：","“宋朝的宰相张商英，他也学禅，自称开悟，张商英认为李翱尚未悟道。”张商英写了一偈，这偈如下：","云在青天水在瓶。眼光随指落深坑。","溪花不耐风霜苦。说甚深深海底行？","","●","","我回答莲讲法师：","云在青天。","（是指眼光已达上乘。）","水在瓶。","（是指实修的功夫。）","任何一位开悟者，在理论上，已明白，开悟就是这个，身心已脱落，身子没有了。","但你如何实践，身心已完全脱落，这才是真功夫啊！","密教教我们修“无漏”，修“拙火”，修“明点”，修“中脉通”，修“五轮开”，这是使自己真正进入“三昧耶”（禅定）的功夫。","如果不“深深海底行”，如何真正达到身心脱落？所以显教也要“戒、定、慧”的功夫深，才能身心脱落。","身心都没有了。","才是真开悟！","否则只是理论上知道，但，身心的障碍，仍然不能算真实开悟的。","","临济祖师说：","“我有一位无位道人，每日在我门面上出入。”这就是真功夫了！","云门祖师说：","“我有一宝，秘在形山。”","这也要真功夫才能现形而出，如果身心不脱落，那一宝就不会现。","这“宝”就是“佛性”。","李翱是不是真正开悟，要看他是否真实的下功夫去修练，修练“中脉通”、“五轮开”，身心脱落，连身子也没有了，这才是真实的开悟了，理上如此，实际亦如此。","有人以为，学禅只是修“性”，而不是修“命”，我则认为“性命要双修才是”。","因为：","“命若通了，才可能身心大定！”","“命若不通，障碍重重，入大定不可能的。”","二","“云在青天水在瓶”其意义在此。","","",""
"045 同学会的奇事（之一）","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c045","Ｏ一一年六月十九日，早上十时。","地点在“彩虹雷藏寺”的大殿。","测量学校（大学部）三十二期的同学，齐聚于美国西雅图彩虹雷藏寺，召开同学会。","与会人士共三十六人。（包含眷属）","这是一次别开生面的同学会，也算是创举，因为卢师尊的召请，而同学会会长杨雄飞的召集，才有美国之旅的同学会。","主持人是杨雄飞会长。","与会的人是：","王正珠、曾玮、王元本、李钰淋、王定平、林开华、柯丽、蔡明颖、杨淑梅、吕金龙、杨素玉、朱金水、陈泽霞、李林德、郭源、郭颜云、杨雄飞、杨洪飞、赵洋一、林梅玉、容承明、周伟铨、孔继曾、傅渝美、王丁财、苏秀琴、徐耀堂、曾育美、陈维义、陈夫人、岳良佐、王兰生、江庆珍、江夫人、卢师尊、卢丽香等等。","此次，随团照护是：","莲欧上师。","周衡医师。","周丽雀导游。","","●","","我们测量学校三十二期（大地系、地形系），共有六位同学已仙逝，他们是：","洪积强、陈震华。","陈　进、曾渝敏。","沈允海、傅正宏。","照往例，为六位同学默哀一分钟。","就在默哀一分钟之间，我看见“曾渝敏”同学现身，及沈允海同学现身，就在我们同学会“ㄇ”形的会议桌前的中间出现。","我随即说：","“卢师尊亲见曾渝敏、沈允海到了会场！”","众同学非常讶异。","我说完此话，当场，曾渝敏的夫人，王正珠女士，马上说：","“我相信卢师尊的话。”","她说：","“曾渝敏意外逝世了五年，我未曾梦见过曾渝敏，连一次也没有。而在赴西雅图之前的前五天，我先生曾渝敏才出现在梦中，殷重的吩咐，一定要带他到美国西雅图。”","此话一说。","震慑全场。","","●","","下午三时，我在彩虹雷藏寺，有护摩（火供），本尊是“佛眼佛母”。","我亲见“曾渝敏同学”非常欢悦的进入护摩火之中，由佛眼佛母摄受，往生到清净的佛国净土去了。","我告诉了曾夫人。","她感动流泪，也皈依了卢师尊，进入佛门。","曾渝敏是测量学校三十二期的老系长，为人非常忠厚耿直，学业名列前茅，是优等生，在学校时与我交情甚厚。","曾渝敏，个子高，略瘦，双目有神，是精神旺盛型的人，凡事尽全力以赴，同学时期，是学校的中坚人物。","我能为曾渝敏服务，是我的荣幸。","诗一首：","无复柔桑驯雉","何幸见","护摩小试","接引系长上天际","","","","","","二","","","",""
